,address,speed,heading,timestamp,rssi,receiver,callsign,altitude,latitude,longitude,distance
11760,502D23,,,2025-05-25T11:00:07.93604491+02:00,-30.466374907428683,zi-5110,,33825.0,53.36508,7.07488,126.0601827790803
11746,502D23,,,2025-05-25T11:00:04.881311147+02:00,-28.38661656485323,zi-5110,,33750.0,53.36192,7.06523,125.63765706284522
15176,4A91F8,,,2025-05-25T11:25:33.834790454+02:00,-30.633315197673262,zi-5110,,32575.0,53.26423,6.22214,121.76704967513638
15171,4A91F8,,,2025-05-25T11:25:28.484969213+02:00,-40.55551750378732,zi-5110,,32575.0,53.25474,6.21018,121.06892145181881
15170,4A91F8,,,2025-05-25T11:25:27.392316177+02:00,-38.88637293448696,zi-5110,,32575.0,53.25278,6.20776,120.92484204661783
15168,4A91F8,,,2025-05-25T11:25:23.567368528+02:00,-37.31353641776668,zi-5110,,32550.0,53.24584,6.19904,120.42203216197547
15167,4A91F8,,,2025-05-25T11:25:22.58639739+02:00,-38.524018481980825,zi-5110,,32550.0,53.24426,6.19702,120.3092326965945
15165,4A91F8,,,2025-05-25T11:25:21.605103244+02:00,-31.897492064424128,zi-5110,,32525.0,53.24249,6.19475,120.1834123558679
15161,4A91F8,,,2025-05-25T11:25:18.43674375+02:00,-31.817448043487083,zi-5110,,32475.0,53.23691,6.18774,119.78560716508584
232,3C4598,,,2025-05-24T21:58:18.773499867+02:00,-28.876461001999537,zi-5110,,35000.0,53.22203,6.14246,119.45419121489968
235,3C4598,,,2025-05-24T21:58:19.863165225+02:00,-34.766363053963524,zi-5110,,35000.0,53.21951,6.14269,119.19214608752688
240,3C4598,,,2025-05-24T21:58:20.85047323+02:00,-39.3427248675025,zi-5110,,35000.0,53.21681,6.14293,118.91165205683421
243,3C4598,,,2025-05-24T21:58:21.939275417+02:00,-36.20359098211116,zi-5110,,35000.0,53.21429,6.14316,118.6497820879377
247,3C4598,,,2025-05-24T21:58:22.815286379+02:00,-30.75792580783041,zi-5110,,35000.0,53.21209,6.1433,118.42289873529707
15152,4A91F8,,,2025-05-25T11:25:06.527773602+02:00,-37.00472942746643,zi-5110,,32225.0,53.21573,6.16115,118.3101909578243
12928,4ACA14,,,2025-05-25T11:03:05.32217126+02:00,-29.66057989992778,zi-5110,,31850.0,53.19511,6.12174,117.31058255188431
12903,4ACA14,,,2025-05-25T11:03:02.373251564+02:00,-34.249087579087416,zi-5110,,31750.0,53.19081,6.11319,117.12398898715128
12898,4ACA14,,,2025-05-25T11:03:01.390219803+02:00,-38.29164399709158,zi-5110,,31725.0,53.18935,6.11028,117.06186801416648
269,3C4598,,,2025-05-24T21:58:28.823595711+02:00,-27.566283753890364,zi-5110,,35000.0,53.19695,6.14473,116.85055884882077
12879,4ACA14,,,2025-05-25T11:02:57.456442139+02:00,-40.4295683875057,zi-5110,,31600.0,53.18353,6.09875,116.81740620091082
12871,4ACA14,,,2025-05-25T11:02:56.474307055+02:00,-37.75513210147728,zi-5110,,31575.0,53.18193,6.09553,116.75314928526763
15141,4A91F8,,,2025-05-25T11:24:52.546531844+02:00,-41.48795005781799,zi-5110,,31950.0,53.19091,6.13005,116.65217259109605
272,3C4598,,,2025-05-24T21:58:29.912810896+02:00,-32.41296037081464,zi-5110,,35000.0,53.19443,6.14497,116.58909969212273
15139,4A91F8,,,2025-05-25T11:24:51.456505257+02:00,-40.55551750378732,zi-5110,,31950.0,53.18907,6.12778,116.53144840930639
12849,4ACA14,,,2025-05-25T11:02:52.433392544+02:00,-39.95372323075786,zi-5110,,31425.0,53.17602,6.08376,116.51767424830835
12842,4ACA14,,,2025-05-25T11:02:51.339378088+02:00,-33.799408278844176,zi-5110,,31400.0,53.17438,6.08046,116.45490431558717
275,3C4598,,,2025-05-24T21:58:30.786646628+02:00,-37.88997228819256,zi-5110,,35000.0,53.19246,6.14512,116.38581210205822
12826,4ACA14,,,2025-05-25T11:02:49.266209602+02:00,-29.44486372867091,zi-5110,,31325.0,53.17126,6.07434,116.3325453338461
12813,4ACA14,,,2025-05-25T11:02:47.30159276+02:00,-43.52757746532651,zi-5110,,31275.0,53.16856,6.069,116.22994288144848
278,3C4598,,,2025-05-24T21:58:31.66448986+02:00,-40.461092422227054,zi-5110,,35000.0,53.18971,6.14536,116.10127935201382
12790,4ACA14,,,2025-05-25T11:02:43.586141251+02:00,-39.88984833262719,zi-5110,,31175.0,53.16293,6.05783,116.02295904808882
12789,4ACA14,,,2025-05-25T11:02:43.039163614+02:00,-33.19036004625439,zi-5110,,31150.0,53.1622,6.05637,115.99707173748807
15137,4A91F8,,,2025-05-25T11:24:46.649547678+02:00,-52.30822115117279,zi-5110,,31850.0,53.18049,6.11704,115.97883783107017
12784,4ACA14,,,2025-05-25T11:02:42.601995432+02:00,-42.87831619828372,zi-5110,,31150.0,53.16145,6.05484,115.97156002750013
12774,4ACA14,,,2025-05-25T11:02:41.51017193+02:00,-33.91238711739414,zi-5110,,31100.0,53.15996,6.05193,115.9172233800172
15136,4A91F8,,,2025-05-25T11:24:45.777855364+02:00,-40.23990556648959,zi-5110,,31850.0,53.17909,6.11526,115.89040513334848
283,3C4598,,,2025-05-24T21:58:32.645081332+02:00,-40.83748278236551,zi-5110,,35000.0,53.18747,6.14556,115.86946974923956
12757,4ACA14,,,2025-05-25T11:02:38.671366879+02:00,-34.17455193561431,zi-5110,,31025.0,53.15567,6.04345,115.76709324700444
12745,4ACA14,,,2025-05-25T11:02:37.580880997+02:00,-41.54936822624382,zi-5110,,30975.0,53.15418,6.04046,115.71747228380282
12738,4ACA14,,,2025-05-25T11:02:36.703801978+02:00,-31.128764832546764,zi-5110,,30950.0,53.15251,6.03723,115.65863272146439
288,3C4598,,,2025-05-24T21:58:33.628251757+02:00,-36.23879137057416,zi-5110,,35000.0,53.18527,6.14575,115.64205009287554
12717,4ACA14,,,2025-05-25T11:02:33.6476896+02:00,-37.58590161217368,zi-5110,,30850.0,53.14806,6.02843,115.51149535620443
12715,4ACA14,,,2025-05-25T11:02:33.099300975+02:00,-33.03634362334912,zi-5110,,30850.0,53.14734,6.02697,115.48934445821534
13871,4ACA6C,,,2025-05-25T11:10:09.014730067+02:00,-29.703535143144155,zi-5110,,28600.0,53.16829,6.0927,115.48164179742308
12709,4ACA14,,,2025-05-25T11:02:32.662855996+02:00,-37.039168457188666,zi-5110,,30825.0,53.14659,6.02545,115.46638866496899
15135,4A91F8,,,2025-05-25T11:24:41.951255948+02:00,-47.290062381011936,zi-5110,,31775.0,53.1722,6.1067,115.45321347317453
13868,4ACA6C,,,2025-05-25T11:10:08.031599239+02:00,-30.34056690307549,zi-5110,,28600.0,53.16703,6.09022,115.4314081942979
15133,4A91F8,,,2025-05-25T11:24:40.861963964+02:00,-46.82947789587238,zi-5110,,31750.0,53.1703,6.1044,115.33198270428173
12676,4ACA14,,,2025-05-25T11:02:28.293250034+02:00,-40.23990556648959,zi-5110,,30725.0,53.14018,6.01282,115.26422988108034
13865,4ACA6C,,,2025-05-25T11:10:04.098895005+02:00,-35.70714214271425,zi-5110,,28525.0,53.16188,6.07999,115.23306174260499
15132,4A91F8,,,2025-05-25T11:24:39.876925806+02:00,-32.687153439845446,zi-5110,,31725.0,53.16856,6.1022,115.2241659470566
12664,4ACA14,,,2025-05-25T11:02:27.201046514+02:00,-35.312179202082675,zi-5110,,30700.0,53.13854,6.0096,115.21380820370112
13863,4ACA6C,,,2025-05-25T11:10:03.222737517+02:00,-37.44996662214801,zi-5110,,28500.0,53.16051,6.07738,115.17799959633352
10767,398578,,,2025-05-25T10:51:11.63595624+02:00,-35.920746094701315,zi-5110,,37000.0,53.20036,6.22472,115.09238819127054
12626,4ACA14,,,2025-05-25T11:02:23.052080491+02:00,-35.59985955028475,zi-5110,,30600.0,53.1323,5.99724,115.03189927175599
12614,4ACA14,,,2025-05-25T11:02:21.962385375+02:00,-32.920358442763046,zi-5110,,30575.0,53.13086,5.99433,114.99331659234166
13860,4ACA6C,,,2025-05-25T11:09:58.201190171+02:00,-30.923292192132458,zi-5110,,28400.0,53.15382,6.06414,114.93109590864334
13859,4ACA6C,,,2025-05-25T11:09:57.654566487+02:00,-29.83202976667864,zi-5110,,28400.0,53.15316,6.06284,114.9071577955305
15128,4A91F8,,,2025-05-25T11:24:36.820439936+02:00,-51.86761995696352,zi-5110,,31675.0,53.16317,6.09547,114.89029551897092
13857,4ACA6C,,,2025-05-25T11:09:57.217151087+02:00,-27.566283753890364,zi-5110,,28375.0,53.15251,6.06154,114.88430986463025
15125,4A91F8,,,2025-05-25T11:24:36.274129174+02:00,-36.06244584051392,zi-5110,,31675.0,53.16228,6.09434,114.83611691520579
15122,4A91F8,,,2025-05-25T11:24:35.182535392+02:00,-31.04673895918861,zi-5110,,31650.0,53.16037,6.09192,114.72006984565466
13844,4ACA6C,,,2025-05-25T11:09:53.176663979+02:00,-29.789259809535384,zi-5110,,28300.0,53.14715,6.05104,114.69303289398073
13839,4ACA6C,,,2025-05-25T11:09:52.627971663+02:00,-32.60904782418524,zi-5110,,28300.0,53.14641,6.04954,114.66880586674509
15121,4A91F8,,,2025-05-25T11:24:34.742288602+02:00,-37.38181376016953,zi-5110,,31625.0,53.15949,6.09087,114.66480267558963
15117,4A91F8,,,2025-05-25T11:24:32.889021313+02:00,-38.49090801734872,zi-5110,,31600.0,53.15632,6.08691,114.47199224907226
12493,4ACA14,,,2025-05-25T11:02:07.539941587+02:00,-28.65484252268716,zi-5110,,30200.0,53.10951,5.95231,114.44578627816539
15115,4A91F8,,,2025-05-25T11:24:32.343508146+02:00,-35.05852250166855,zi-5110,,31600.0,53.15533,6.08572,114.41063224014529
12484,4ACA14,,,2025-05-25T11:02:06.341852755+02:00,-36.55406954088696,zi-5110,,30175.0,53.10772,5.94877,114.4058682204115
12475,4ACA14,,,2025-05-25T11:02:05.464666631+02:00,-31.777350424476865,zi-5110,,30150.0,53.10623,5.94587,114.3715886639745
15114,4A91F8,,,2025-05-25T11:24:31.797813014+02:00,-52.18620507375488,zi-5110,,31600.0,53.15437,6.08449,114.35359260163305
15112,4A91F8,,,2025-05-25T11:24:31.360636247+02:00,-41.14851151621405,zi-5110,,31575.0,53.15367,6.0836,114.3118735669942
10748,398578,,,2025-05-25T10:51:05.735688834+02:00,-32.687153439845446,zi-5110,,37000.0,53.18938,6.21164,114.29400315626783
15111,4A91F8,,,2025-05-25T11:24:30.922627178+02:00,-57.33192827735694,zi-5110,,31575.0,53.15286,6.08258,114.26338250259917
15110,4A91F8,,,2025-05-25T11:24:30.048512458+02:00,-49.78554006938159,zi-5110,,31550.0,53.15126,6.08062,114.16617615246989
308,3C4598,,,2025-05-24T21:58:39.852660572+02:00,-45.97771199179011,zi-5110,,35000.0,53.16985,6.14716,114.04785449163612
10738,398578,,,2025-05-25T10:51:02.680917047+02:00,-35.27605420111495,zi-5110,,37000.0,53.18426,6.20558,113.92564269939747
15109,4A91F8,,,2025-05-25T11:24:26.988502085+02:00,-43.76128425903427,zi-5110,,31500.0,53.14581,6.07387,113.84002142577629
10734,398578,,,2025-05-25T10:51:01.803658079+02:00,-41.457206852367655,zi-5110,,37000.0,53.18243,6.20335,113.79641974450097
313,3C4598,,,2025-05-24T21:58:40.836309949+02:00,-51.91676029954103,zi-5110,,35000.0,53.16737,6.1474,113.79141643984448
15107,4A91F8,,,2025-05-25T11:24:26.443303641+02:00,-36.72805467214402,zi-5110,,31500.0,53.14494,6.07277,113.78904619053803
15106,4A91F8,,,2025-05-25T11:24:25.896395542+02:00,-53.963876806619446,zi-5110,,31475.0,53.14389,6.07144,113.7277455295676
15103,4A91F8,,,2025-05-25T11:24:25.349970426+02:00,-37.10795063055895,zi-5110,,31475.0,53.14292,6.07027,113.6694106773076
15205,4CADB9,,,2025-05-25T11:26:21.241734728+02:00,-34.54562200916348,zi-5110,,35000.0,53.12128,6.00756,113.62668176531096
15101,4A91F8,,,2025-05-25T11:24:24.807204846+02:00,-50.79960629768699,zi-5110,,31475.0,53.14215,6.06924,113.62638691661755
15099,4A91F8,,,2025-05-25T11:24:23.929297941+02:00,-41.21043557158794,zi-5110,,31450.0,53.14037,6.06712,113.5190198496758
316,3C4598,,,2025-05-24T21:58:41.930245328+02:00,-55.27114979806373,zi-5110,,35000.0,53.16466,6.14766,113.51136529452863
319,3C4598,,,2025-05-24T21:58:42.912478354+02:00,-51.71991879343973,zi-5110,,35000.0,53.16216,6.14787,113.25396372166111
15089,4A91F8,,,2025-05-25T11:24:20.765906339+02:00,-44.854765633096335,zi-5110,,31400.0,53.135,6.06041,113.20777149563231
10720,398578,,,2025-05-25T10:50:57.000837884+02:00,-36.484243174280046,zi-5110,,37000.0,53.17369,6.19299,113.17734124431655
15212,4CADB9,,,2025-05-25T11:26:25.17245196+02:00,-34.06244266050219,zi-5110,,35000.0,53.12141,6.0218,113.15792035457864
15088,4A91F8,,,2025-05-25T11:24:19.888907749+02:00,-49.425701815958064,zi-5110,,31375.0,53.13336,6.05833,113.11453271388322
15086,4A91F8,,,2025-05-25T11:24:19.342820176+02:00,-34.61935874622752,zi-5110,,31375.0,53.1324,6.05718,113.05796370669427
15085,4A91F8,,,2025-05-25T11:24:18.796038038+02:00,-39.3427248675025,zi-5110,,31375.0,53.13144,6.05598,113.00313409832691
325,3C4598,,,2025-05-24T21:58:44.876866653+02:00,-35.02213585719752,zi-5110,,35000.0,53.15744,6.1483,112.76730111188303
15083,4A91F8,,,2025-05-25T11:24:15.630195708+02:00,-43.35147056329232,zi-5110,,31325.0,53.12599,6.04923,112.69236762766656
15080,4A91F8,,,2025-05-25T11:24:15.190791953+02:00,-42.87831619828372,zi-5110,,31300.0,53.12512,6.04813,112.64389089785313
15079,4A91F8,,,2025-05-25T11:24:14.645676122+02:00,-50.295128988799696,zi-5110,,31300.0,53.12416,6.04692,112.5904057653967
15077,4A91F8,,,2025-05-25T11:24:14.099804595+02:00,-43.14510400960925,zi-5110,,31300.0,53.12327,6.04587,112.5385892897827
15076,4A91F8,,,2025-05-25T11:24:13.661391349+02:00,-42.1888610891548,zi-5110,,31300.0,53.12239,6.04474,112.49047775295683
15224,4CADB9,,,2025-05-25T11:26:30.964273251+02:00,-27.51999273255718,zi-5110,,35000.0,53.1216,6.04313,112.46698902981038
15073,4A91F8,,,2025-05-25T11:24:13.225065885+02:00,-35.742831449117176,zi-5110,,31275.0,53.1216,6.04381,112.44460890915359
10711,398578,,,2025-05-25T10:50:51.209696621+02:00,-30.04496630053028,zi-5110,,37000.0,53.16307,6.18038,112.43838635623801
15072,4A91F8,,,2025-05-25T11:24:12.788274911+02:00,-33.837109805655686,zi-5110,,31275.0,53.12091,6.04295,112.40618891276614
15227,4CADB9,,,2025-05-25T11:26:31.615752397+02:00,-40.71240597164456,zi-5110,,35000.0,53.12164,6.04531,112.39916268163425
8763,502D5C,,,2025-05-25T10:42:49.848504703+02:00,-33.42005385992069,zi-5110,,26900.0,53.16722,6.19799,112.38466297056668
10710,398578,,,2025-05-25T10:50:50.662677682+02:00,-33.7616646509025,zi-5110,,37000.0,53.16206,6.17918,112.36886597652537
15230,4CADB9,,,2025-05-25T11:26:32.59938436+02:00,-43.96475861414458,zi-5110,,35000.0,53.12169,6.04892,112.28560485870537
15232,4CADB9,,,2025-05-25T11:26:33.145349473+02:00,-28.38661656485323,zi-5110,,35000.0,53.12169,6.05088,112.22149148619461
15068,4A91F8,,,2025-05-25T11:24:10.276916797+02:00,-39.21288053688482,zi-5110,,31250.0,53.11656,6.03754,112.16520181698176
15067,4A91F8,,,2025-05-25T11:24:09.839174776+02:00,-45.19457932097609,zi-5110,,31250.0,53.11578,6.0365,112.1246137950724
15066,4A91F8,,,2025-05-25T11:24:09.402984635+02:00,-45.61578674099571,zi-5110,,31250.0,53.11496,6.03557,112.07660212403444
15065,4A91F8,,,2025-05-25T11:24:08.856520974+02:00,-51.89219594505518,zi-5110,,31225.0,53.11401,6.0344,112.02418382086891
10707,398578,,,2025-05-25T10:50:47.715555265+02:00,-37.99078835717943,zi-5110,,37000.0,53.15689,6.17298,112.01662448066459
337,3C4598,,,2025-05-24T21:58:47.827593087+02:00,-27.704692743288096,zi-5110,,35000.0,53.14998,6.14897,111.99911603116978
15064,4A91F8,,,2025-05-25T11:24:08.313798775+02:00,-43.70297472712813,zi-5110,,31225.0,53.11312,6.03327,111.97633081278019
15063,4A91F8,,,2025-05-25T11:24:07.873192404+02:00,-42.15862900996663,zi-5110,,31225.0,53.11229,6.03222,111.93168429387781
10705,398578,,,2025-05-25T10:50:46.73288597+02:00,-41.48795005781799,zi-5110,,37000.0,53.15507,6.17084,111.89225689485527
10703,398578,,,2025-05-25T10:50:46.296258032+02:00,-30.71644510681534,zi-5110,,37000.0,53.15428,6.16995,111.83731683136602
15239,4CADB9,,,2025-05-25T11:26:36.748705673+02:00,-38.42460149435515,zi-5110,,35000.0,53.12183,6.06397,111.80999226655165
20076,407462,,,2025-05-25T12:29:59.807396048+02:00,-27.42717630380496,zi-5110,,35025.0,53.10139,6.00524,111.80984183987042
15240,4CADB9,,,2025-05-25T11:26:37.186206537+02:00,-33.648179742743885,zi-5110,,35000.0,53.12183,6.06563,111.75646925010363
15242,4CADB9,,,2025-05-25T11:26:37.732841806+02:00,-43.58612164439502,zi-5110,,35000.0,53.12183,6.06767,111.69081237931893
